repayment_id,loan_id,repayment_date,amount_paid,due_date
20195,5018,2023-10-09,13310.24,2023-08-26
20196,5044,2022-12-05,6710.76,2022-03-11
20197,5155,2022-12-25,2989.99,2023-10-06
20198,5867,2022-05-31,14794.74,2022-09-14
20199,5922,2022-04-10,3061.2,2022-04-02
20200,5743,2022-08-22,8730.49,2023-08-17
20201,5225,2023-06-28,8754.65,2023-01-07
20202,5217,2022-03-03,5905.8,2022-04-09
20203,5031,2022-07-15,14296.58,2023-05-25
20204,6083,2023-06-26,12736.18,2023-07-19
20205,5898,2022-04-16,12532.38,2023-08-15
20206,5935,2022-10-22,14625.2,2023-05-22
20207,5445,2023-10-07,7128.09,2022-12-09
20208,6131,2023-03-27,1909.19,2022-09-03
20209,5530,2023-06-18,11599.11,2023-04-17
20210,5738,2022-06-05,6021.78,2022-10-06
20211,5874,2023-02-10,3260.0,2023-05-25
20212,5566,2023-11-14,7507.09,2023-03-07
20213,5076,2023-07-08,13922.92,2023-03-18
20214,5547,2023-07-26,2984.68,2022-09-18
20215,5267,2023-01-10,12806.13,2022-09-12
20216,5317,2023-08-12,6563.97,2023-04-06
20217,6145,2023-03-31,2483.63,2023-08-18
20218,5025,2022-07-21,12801.54,2022-09-22
20219,5160,2023-03-28,14559.49,2023-05-30
20220,5596,2022-07-06,4723.43,2023-03-21
20221,6138,2023-08-31,4901.28,2022-08-11
20222,5900,2023-01-03,6162.92,2022-07-11
20223,5502,2022-12-06,12304.89,2023-07-12
20224,6190,2022-09-19,651.05,2023-03-16
20225,6013,2023-08-12,3747.37,2022-09-26
20226,5703,2023-06-27,10735.55,2022-02-10
20227,6199,2023-07-05,6381.77,2023-10-13
20228,5001,2022-11-02,5289.29,2022-02-10
20229,5741,2023-09-30,13148.1,2022-11-27
20230,6110,2022-06-14,13801.34,2022-06-24
20231,5320,2023-09-13,14245.8,2023-03-09
20232,5382,2022-03-29,4451.98,2023-03-25
20233,5898,2022-07-19,13731.43,2022-11-19
20234,5717,2022-09-28,11186.0,2022-10-07
20235,5307,2022-02-20,2736.11,2022-04-04
20236,6168,2023-05-04,9348.92,2022-12-06
20237,5391,2022-07-17,881.85,2023-02-24
20238,6193,2022-01-23,10771.48,2022-07-24
20239,5990,2023-10-27,11136.73,2023-07-22
20240,5298,2022-08-11,11945.41,2022-09-17
20241,5233,2022-08-09,3001.61,2023-11-11
20242,5271,2023-10-25,9609.62,2023-11-14
20243,6084,2022-09-23,3093.42,2023-01-26
20244,5677,2022-03-14,14226.43,2023-10-11
20245,5706,2022-03-18,10287.66,2022-10-05
20246,5234,2023-06-28,1882.22,2023-04-26
20247,5845,2023-03-11,3211.97,2023-03-27
20248,5491,2022-03-06,10120.17,2022-10-18
20249,5503,2022-12-23,7411.72,2023-10-09
20250,5890,2022-01-18,11176.32,2022-04-15
20251,5592,2023-11-07,4571.44,2023-01-12
20252,5746,2023-07-20,10039.8,2022-07-09
20253,5428,2023-07-29,3065.92,2022-07-14
20254,5697,2023-03-12,8383.8,2023-07-30
20255,5646,2023-03-17,14388.09,2023-01-12
20256,5732,2022-01-09,9609.22,2023-11-14
20257,5800,2023-04-15,1224.91,2022-01-18
20258,5364,2023-09-24,14837.05,2022-09-16
20259,5202,2022-12-14,2774.56,2023-01-07
20260,5882,2023-08-25,10912.0,2023-08-16
20261,5146,2023-01-07,8221.69,2022-03-01
20262,5836,2022-06-24,4768.23,2022-04-15
20263,5639,2023-05-30,3071.0,2023-03-02
20264,5135,2022-05-10,3076.68,2022-09-18
20265,5626,2023-07-20,12946.8,2022-02-15
20266,5064,2022-10-20,13157.23,2023-10-06
20267,5491,2023-11-27,7244.61,2023-06-10
20268,5041,2022-12-19,2002.51,2023-04-22
20269,6027,2022-08-12,13320.39,2022-09-24
20270,5913,2023-06-08,7561.74,2023-06-18
20271,5975,2023-05-24,6862.06,2022-04-16
20272,6134,2023-01-03,6406.68,2023-06-01
20273,5368,2023-10-28,5792.71,2023-11-24
20274,5918,2023-08-13,8127.08,2023-01-31
20275,6028,2023-10-14,9265.85,2022-05-29
20276,5244,2023-05-15,7263.27,2022-10-07
20277,5902,2022-03-31,13501.4,2023-06-09
20278,5166,2023-10-18,5106.09,2022-01-26
20279,6050,2022-03-13,8885.52,2023-07-06
20280,6041,2023-03-09,4849.33,2022-10-09
20281,5728,2023-11-20,11423.58,2023-04-29
20282,6116,2022-12-14,1980.76,2022-03-05
20283,5483,2022-09-20,3236.14,2022-04-21
20284,5543,2022-09-28,12117.42,2022-03-29
20285,5931,2023-05-24,3156.37,2023-09-28
20286,5400,2023-05-23,9573.32,2023-02-26
20287,5619,2023-09-09,14568.53,2023-10-20
20288,6170,2023-02-24,8081.91,2023-03-16
20289,5879,2022-03-13,3217.25,2022-05-08
20290,5101,2022-03-15,5150.02,2022-10-21
20291,5880,2023-10-17,12440.14,2022-05-29
20292,5830,2023-05-18,5599.08,2022-11-23
20293,5759,2023-07-28,10990.91,2022-05-20
20294,5163,2022-05-26,11771.58,2022-05-02
20295,6197,2022-02-15,7767.15,2023-06-07
20296,5502,2022-04-15,11856.59,2023-01-19
20297,5547,2022-04-19,5095.09,2022-10-10
20298,5381,2022-11-13,7984.31,2023-03-23
20299,5870,2022-05-01,10455.09,2022-07-13
20300,5905,2023-05-14,2937.06,2023-08-16
20301,6187,2022-02-12,4467.52,2023-09-11
20302,6002,2022-04-09,9954.53,2022-07-25
20303,5609,2022-11-07,10002.72,2023-10-01
20304,5307,2022-08-02,7652.89,2023-06-30
20305,5055,2023-04-08,12035.99,2022-03-05
20306,5983,2023-02-27,7489.8,2022-01-17
20307,5333,2023-01-24,13279.17,2023-03-11
20308,5127,2023-11-28,11170.6,2022-04-15
20309,5705,2022-04-22,5063.08,2023-03-16
20310,5243,2022-09-29,6231.18,2023-09-12
20311,5600,2022-04-12,10181.46,2023-11-19
20312,5503,2022-07-29,13469.56,2022-08-16
20313,5604,2022-01-22,3091.28,2023-01-30
20314,5303,2022-06-08,7962.62,2022-08-01
20315,5235,2022-12-09,2222.37,2023-11-05
20316,6062,2023-02-04,4552.1,2022-10-25
20317,5139,2023-03-30,10446.73,2023-03-01
20318,5195,2023-11-30,1627.15,2023-02-05
20319,5647,2022-05-23,10104.2,2023-06-08
20320,5001,2023-02-01,13561.76,2023-08-03
20321,5561,2023-06-20,14555.87,2023-07-07
20322,6120,2022-05-21,3641.17,2023-02-02
20323,5713,2022-08-28,11359.02,2022-09-17
20324,5413,2022-10-19,13932.37,2022-05-06
20325,5538,2022-03-23,1824.86,2022-08-14
20326,5429,2023-07-14,6503.34,2022-11-29
20327,5235,2022-06-20,13831.44,2022-11-26
20328,5349,2023-08-03,3440.42,2022-09-22
20329,5396,2023-06-10,14039.53,2022-06-20
20330,5416,2023-06-26,8144.29,2022-01-01
20331,5916,2022-04-20,1948.45,2022-08-29
20332,6075,2022-07-31,7023.22,2023-08-07
20333,5081,2023-03-14,5230.79,2023-08-24
20334,5036,2022-11-18,4591.96,2022-01-20
20335,6091,2022-03-25,8351.4,2022-11-11
20336,5641,2023-01-11,7512.09,2023-04-18
20337,5882,2022-02-22,7488.52,2022-05-21
20338,5757,2023-05-11,1778.06,2022-11-29
20339,5623,2022-09-13,12133.61,2023-11-18
20340,5468,2023-08-09,7480.87,2022-02-19
20341,6166,2022-08-08,12403.13,2023-08-29
20342,5356,2023-10-17,12456.62,2023-04-06
20343,5709,2022-04-10,5098.46,2023-11-11
20344,6020,2022-05-09,563.02,2023-01-26
20345,5902,2022-08-07,13713.06,2022-02-24
20346,5673,2023-04-22,11530.07,2022-02-20
20347,5439,2023-04-03,2055.15,2023-05-05
20348,5531,2022-01-22,10675.04,2022-11-28
20349,5127,2023-11-21,790.34,2022-09-27
20350,5205,2023-07-14,902.51,2022-12-28
20351,5029,2023-09-21,8124.44,2022-05-25
20352,5445,2022-11-25,1892.54,2023-08-12
20353,5966,2023-11-22,14482.88,2022-05-09
20354,5464,2023-04-25,13460.55,2023-01-10
20355,5151,2022-12-05,9922.27,2023-05-20
20356,5240,2022-06-28,1423.78,2023-09-15
20357,5266,2023-02-25,5210.11,2022-01-01
20358,6129,2023-04-27,5889.98,2023-01-02
20359,5913,2022-02-18,7472.76,2023-06-22
20360,5497,2022-01-30,2949.09,2023-09-20
20361,5685,2022-03-26,8873.92,2023-05-10
20362,5158,2023-05-17,6818.67,2022-06-23
20363,5172,2023-06-30,14235.81,2023-06-09
20364,5494,2022-11-25,14074.83,2022-02-03
20365,5970,2023-09-02,8699.37,2022-11-14
20366,5676,2023-03-10,9843.07,2023-08-08
20367,5659,2023-08-11,2498.05,2023-07-17
20368,5903,2023-11-18,3738.19,2022-07-30
20369,5666,2022-09-06,13560.37,2023-07-07
20370,5367,2022-05-14,10637.91,2022-11-07
20371,5550,2023-11-21,3246.74,2022-04-04
20372,5643,2022-12-31,8768.05,2022-07-08
20373,5255,2023-07-29,14054.04,2023-10-09
20374,5208,2023-03-01,5504.98,2023-05-29
20375,5450,2023-02-19,3194.4,2022-07-23
20376,5095,2023-10-18,14159.37,2023-05-06
20377,5839,2023-05-27,7188.35,2023-10-30
20378,5478,2023-01-20,6550.01,2022-02-23
20379,5683,2023-01-23,4379.72,2023-04-21
20380,5762,2023-03-25,13427.99,2022-04-04
20381,5190,2023-07-18,12761.44,2022-11-10
20382,5711,2022-10-30,6343.36,2023-07-27
20383,5756,2022-04-09,943.89,2022-12-26
20384,5836,2022-11-02,6976.45,2022-06-17
20385,5133,2023-07-11,3122.44,2023-02-02
20386,5055,2022-02-11,2569.64,2023-06-21
20387,5510,2023-04-13,6199.86,2023-01-29
20388,5670,2023-03-16,1936.62,2022-12-22
20389,5410,2022-11-23,14383.24,2022-02-17
20390,5987,2023-07-23,1189.32,2023-03-08
20391,5734,2022-02-02,6319.86,2022-02-22
20392,6139,2023-02-16,2859.19,2022-08-29
20393,5259,2023-09-18,10487.76,2023-01-30
20394,6146,2022-04-24,1642.77,2022-01-27
20395,5299,2023-05-23,8428.68,2022-02-28
20396,5561,2022-02-25,11709.97,2022-07-05
20397,5297,2023-07-10,14275.87,2022-05-21
20398,5362,2022-12-18,10628.65,2022-02-26
20399,5589,2022-11-25,1942.63,2023-03-26
20400,5127,2023-06-30,1783.55,2022-04-16
20401,5197,2022-09-27,11108.17,2022-10-07
20402,5221,2022-07-15,3622.28,2023-04-13
20403,5995,2023-02-17,6984.97,2023-03-09
20404,5091,2023-09-29,14661.01,2023-11-11
20405,5411,2022-03-20,12388.65,2022-12-06
20406,5008,2023-10-19,12775.6,2023-05-29
20407,5544,2022-03-24,12981.16,2023-02-03
20408,5468,2022-05-17,9483.41,2022-07-01
20409,5320,2023-06-23,11287.04,2022-10-29
20410,5269,2023-11-20,5704.93,2022-07-02
20411,5061,2022-11-02,14977.47,2023-05-25
20412,5797,2022-11-07,4554.52,2022-04-05
20413,6119,2023-01-23,9055.11,2023-02-18
20414,5553,2023-07-03,4589.89,2022-06-05
20415,5926,2023-05-21,2125.03,2023-11-23
20416,5661,2023-01-23,8729.99,2022-04-07
20417,5716,2022-10-20,5623.56,2023-01-04
20418,5779,2022-06-28,8956.68,2022-08-26
20419,5194,2023-11-03,8600.84,2022-01-13
20420,5482,2023-03-05,8362.72,2022-10-28
20421,5855,2023-06-08,2287.87,2022-07-01
20422,5498,2023-11-12,6882.62,2022-06-04
20423,5212,2022-11-08,12274.06,2023-01-26
20424,5665,2022-03-21,5069.58,2022-06-26
20425,5670,2022-01-14,6935.56,2023-08-06
20426,5221,2022-02-23,7660.56,2023-08-19
20427,5273,2023-03-23,13009.6,2023-08-27
20428,6178,2022-03-06,10006.2,2022-03-10
20429,5279,2023-01-07,1952.94,2022-11-04
20430,5816,2023-05-18,13044.98,2023-11-07
20431,5276,2023-07-24,12564.96,2023-11-22
20432,6005,2022-04-06,11427.87,2023-06-29
20433,5514,2023-06-17,7257.84,2022-02-22
20434,6112,2022-09-17,11484.41,2022-08-04
20435,5923,2023-08-08,7441.76,2022-02-07
20436,5642,2022-09-05,11181.04,2023-03-04
20437,5505,2022-05-07,13261.6,2022-09-18
20438,5590,2023-05-14,13412.85,2023-01-09
20439,5772,2022-02-15,7091.39,2022-01-31
20440,5740,2022-09-25,12960.47,2023-01-28
20441,5675,2023-10-02,1971.13,2023-03-01
20442,6014,2023-06-26,1976.38,2022-01-05
20443,5128,2022-04-04,8449.87,2023-11-22
20444,5503,2022-11-12,9951.75,2022-02-23
20445,5902,2023-09-04,2718.41,2023-05-19
20446,5543,2022-03-12,7346.61,2023-05-23
20447,5492,2023-08-16,1868.26,2023-03-29
20448,6045,2023-03-25,9230.44,2022-07-19
20449,5714,2023-01-02,12898.86,2022-09-30
20450,5791,2023-09-12,11195.77,2022-08-14
20451,5416,2023-09-06,5985.23,2023-04-16
20452,5148,2023-02-14,14910.01,2022-01-18
20453,5970,2022-04-01,10112.56,2023-09-21
20454,5029,2023-05-24,12321.1,2022-01-10
20455,5308,2023-06-12,10210.61,2022-02-08
20456,5162,2022-04-20,14846.54,2022-02-10
20457,5869,2023-11-03,12409.72,2023-09-12
20458,5852,2022-03-30,8031.64,2022-02-13
20459,5061,2023-08-30,5819.75,2022-07-16
20460,5125,2022-09-29,10391.25,2022-10-26
20461,6095,2022-09-04,9058.22,2022-07-28
20462,5838,2022-12-27,9625.58,2023-04-04
20463,5466,2023-01-13,5473.67,2023-11-19
20464,5243,2022-07-25,6716.56,2022-08-24
20465,5473,2022-12-11,8592.4,2023-05-30
20466,5959,2023-03-31,12669.61,2022-12-26
20467,5533,2022-03-08,11562.18,2023-01-18
20468,5494,2023-07-12,2220.51,2023-03-03
20469,5899,2022-02-12,4060.54,2022-12-10
20470,5082,2022-08-17,886.54,2022-09-11
20471,5856,2023-03-20,615.43,2023-07-02
20472,5879,2022-08-22,3753.44,2023-05-22
20473,5923,2022-07-18,12090.15,2023-06-02
20474,5012,2023-05-12,13618.84,2022-11-26
20475,5449,2022-02-01,6180.64,2023-05-03
20476,5762,2022-09-21,8666.38,2023-04-27
20477,6138,2022-04-23,10737.76,2023-04-17
20478,5026,2023-04-04,14317.58,2023-06-16
20479,5508,2022-10-03,13737.52,2023-03-13
20480,5062,2022-05-26,1329.29,2023-02-26
20481,5229,2022-12-23,4098.4,2022-06-11
20482,5607,2022-01-06,1212.6,2023-03-10
20483,6059,2022-12-06,9439.87,2023-07-13
20484,5891,2023-05-09,10802.15,2022-01-16
20485,5761,2022-04-18,4970.11,2023-09-12
20486,5595,2022-03-12,12880.85,2023-11-20
20487,6049,2022-12-06,7065.78,2022-03-06
20488,6056,2023-11-05,14976.53,2023-07-29
20489,6036,2022-04-10,505.8,2022-03-14
20490,5001,2022-11-23,2087.6,2022-07-23
20491,6160,2022-02-02,4876.0,2022-09-11
20492,5133,2022-05-23,869.86,2023-07-26
20493,5086,2022-09-01,11843.92,2023-09-05
20494,5516,2023-09-24,1265.19,2023-06-13
20495,5175,2023-11-11,11360.2,2022-07-14
20496,5763,2022-08-05,1262.24,2022-09-08
20497,6045,2023-03-10,4164.55,2023-07-04
20498,5997,2022-02-23,12698.51,2022-10-12
20499,6129,2023-08-15,14290.88,2023-06-27
20500,5578,2022-05-31,6510.63,2023-04-28
20501,5049,2022-02-24,14564.11,2022-11-06
20502,5528,2023-06-01,9589.77,2022-06-30
20503,5145,2023-03-24,6529.61,2023-10-15
20504,5762,2022-02-04,12140.62,2022-09-02
20505,6099,2022-04-29,4782.26,2023-03-17
20506,5929,2022-07-16,4354.05,2022-10-02
20507,5794,2023-07-20,10019.94,2022-08-12
20508,5319,2023-05-29,6162.07,2023-01-02
20509,6111,2023-08-17,2470.81,2023-06-23
20510,5698,2023-02-26,1470.98,2022-09-07
20511,5847,2023-06-01,11923.72,2022-01-13
20512,5783,2023-11-17,10300.71,2022-11-04
20513,5042,2022-05-19,6471.07,2023-09-02
20514,6117,2023-10-12,13495.3,2022-07-11
20515,5529,2023-09-20,6457.42,2023-11-29
20516,5292,2022-02-13,10799.28,2022-01-19
20517,5969,2022-08-07,13682.17,2022-12-05
20518,5097,2023-07-22,12690.37,2023-08-02
20519,6119,2022-09-15,7911.02,2022-01-26
20520,5074,2023-05-28,10369.23,2022-01-06
20521,6092,2023-01-12,6498.15,2022-05-21
20522,5758,2022-10-16,9884.36,2022-01-27
20523,6101,2023-04-15,4234.51,2022-04-15
20524,5208,2022-04-13,6803.76,2023-06-06
20525,5410,2022-05-29,3538.41,2022-10-06
20526,5331,2022-03-25,1053.68,2022-10-30
20527,5344,2022-01-26,9033.83,2022-01-12
20528,5989,2022-06-24,13034.23,2023-10-30
20529,5771,2023-10-03,870.88,2022-03-18
20530,5074,2023-02-26,3342.43,2022-01-18
20531,5254,2023-10-16,7172.68,2023-07-24
20532,5959,2022-12-12,10155.5,2023-10-04
20533,5820,2022-10-29,2982.82,2022-06-23
20534,5986,2022-10-25,1322.08,2023-02-05
20535,5332,2022-05-15,8026.21,2022-03-28
20536,5747,2022-02-24,12371.29,2022-12-09
20537,5836,2022-02-25,1010.91,2023-03-25
20538,5455,2023-01-09,5565.86,2022-02-23
20539,6139,2023-08-11,10120.96,2023-03-03
20540,5313,2022-12-05,2395.76,2022-03-19
20541,6018,2023-04-02,3921.23,2023-03-15
20542,5228,2022-12-21,8264.64,2023-05-12
20543,5834,2022-05-12,14321.86,2022-06-21
20544,5858,2023-05-08,4666.47,2023-07-04
20545,5818,2023-07-08,7569.15,2023-11-29
20546,6018,2022-04-20,6299.0,2022-12-27
20547,5528,2023-08-05,13512.25,2022-08-24
20548,5950,2022-05-06,1542.4,2023-03-09
20549,5427,2022-10-23,8709.14,2022-01-16
20550,5042,2022-06-28,12768.74,2023-05-11
20551,5465,2022-07-16,14827.7,2023-08-09
20552,5278,2022-04-11,10631.52,2022-07-30
20553,5836,2023-07-27,6009.06,2022-11-23
20554,5019,2022-07-02,6471.45,2023-09-19
20555,5066,2022-01-09,5599.39,2022-09-04
20556,5167,2023-02-17,9252.39,2023-07-03
20557,6020,2023-07-20,11221.38,2023-05-18
20558,5403,2023-11-23,12382.28,2023-07-21
